company,cik,era_start,era_end,form_types,frequency,doc_format,has_gold_segment_split,cost_metric_published,cost_metric_caption,sample_accession,notes
TVX Gold Inc (merged into Kinross Feb 2003),0000808462,1999,2003,"40-F (paper FY2001), 6-K (real from Nov 2002)",effectively NONE -- only 8 real 6-Ks ever filed,paper stub for the one annual filing; real 6-Ks are plain HTML/.txt,not verified,not verified,n/a,9999999997-02-024555,"VERIFIED: this CIK has only 22 filings total, ever. First real (non-paper) content is a 6-K dated 2002-11-26; only 8 real 6-Ks exist total before deregistration (Form 25, 2003-02-24) after merging into Kinross. TVX Gold's EDGAR footprint is ESSENTIALLY UNUSABLE for this study -- no annual report content is retrievable at all (its one 40-F, FY2001, is a paper-only placeholder like Barrick's)."
Wheaton River Minerals Ltd (reverse-merged into Goldcorp 2005),0001142746,2003,2005,"40-F (unusually self-contained/large for a 40-F -- 1.2MB), 6-K -- ENTIRE usable EDGAR LIFE",annual + irregular 6-K (19-65/yr),"HTML, no XBRL",yes (gold sales),"total cash cost, cash operating cost","""Total cash cost""",0001176256-03-000102,"VERIFIED: registration 2002 (20FR12G/A, paper), first real 40-F 2003-05-14 (unusually content-rich for a 40-F primary document at 1.2MB -- does NOT show the Barrick/Kinross empty-wrapper pattern, i.e. some 40-F filers embed everything in the cover form rather than splitting into EX-99.x). Only 3 annual filings ever (FY2002/03/04); reverse-merged into Goldcorp in 2005 (Wheaton River's management/name effectively became Goldcorp's), CIK goes inactive by 2006."
American Barrick Resources Corp (Barrick's pre-1995 name),NOT FOUND,n/a,n/a,n/a,n/a,NO SEPARATE CIK DISCOVERABLE,n/a,n/a,n/a,n/a,"VERIFIED SEARCH: full company-name search for ""american+barrick"" (both EDGAR company-search endpoints) returns ZERO results, active or inactive. The only trace of this name is a leftover SGML metadata field inside Barrick's 2002 paper 20-F header (""FORMER COMPANY: BARRICK RESOURCES CORP, DATE OF NAME CHANGE: 19860109"") attached to the SAME CIK 756894 that has zero actual filings before 2001 (see Barrick rows above). CONCLUSION: American Barrick Resources Corp / Barrick Resources Corp pre-1995 financial history is NOT retrievable from EDGAR under any CIK -- treat as permanently out of scope for this project's EDGAR-only sourcing."
Yamana Gold Inc,0001264089,2003,2026,"40-F, 6-K",annual + 6-K (not sampled),not sampled,not in UNIVERSE.md top-20 union list,not sampled,n/a,0000912282-04-000352,"PROBE-CHEAP per task instructions: CIK resolved, earliest real annual = FY2003 40-F (filed 2004-07-09). Not in UNIVERSE.md Sec.4 verified top-20 union list -- no deeper sampling done. Acquired by Pan American Silver / AEM joint venture 2023."
Eldorado Gold Corp,0000918608,2002,2026,"40-F, 6-K",annual + 6-K (not sampled),not sampled,not in UNIVERSE.md top-20 union list,not sampled,n/a,0000912282-03-000244,"PROBE-CHEAP: CIK resolved, earliest real annual = FY2002 40-F (filed 2003-05-20). Not in UNIVERSE.md top-20 union list. Still active/independent."
IAMGOLD Corp,0001203464,2002,2026,"40-F, 6-K",annual + 6-K (not sampled),not sampled,not in UNIVERSE.md top-20 union list,not sampled,n/a,0001047469-03-019279,"PROBE-CHEAP: CIK resolved, earliest real annual = FY2002 40-F (filed 2003-05-20). Not in UNIVERSE.md top-20 union list."
B2Gold Corp,0001429937,2013,2026,"40-F, 6-K",annual + 6-K (not sampled),not sampled,not in UNIVERSE.md top-20 union list,not sampled,n/a,0001062993-14-001818,"PROBE-CHEAP: CIK existed since 2007 (exempt 12g3-2(b) filer) but first REAL annual report is FY2013 40-F (filed 2014-04-01) -- an 6-year gap between CIK creation and usable content, worth flagging as a pattern (small-cap FPIs often sit in exempt-filer status for years before up-listing triggers full EDGAR reporting). Not in UNIVERSE.md top-20 union list."
Coeur Mining Inc (f/k/a Coeur d'Alene Mines Corp),0000215466,1994,2026,"10-K, 10-Q",quarterly (not sampled),not sampled,not in UNIVERSE.md top-20 union list (primarily silver),not sampled,n/a,0000950133-95-000152,"PROBE-CHEAP: US domestic filer, CIK resolved, earliest real annual = FY1994 10-K. Primarily a silver producer; not in UNIVERSE.md top-20 gold union list."
Hecla Mining Co,0000719413,1993,2026,"10-K, 10-Q",quarterly (not sampled),not sampled,not in UNIVERSE.md top-20 union list (primarily silver),not sampled,n/a,0000950123-94-000531,"PROBE-CHEAP: US domestic filer, CIK resolved, earliest real annual = FY1993 10-K (earliest of ANY company in this whole study). Primarily silver; not in UNIVERSE.md top-20 gold union list."
Royal Gold Inc,0000085535,1995,2026,"10-K, 10-Q",quarterly (not sampled),not sampled,"EXCLUDED per UNIVERSE.md Sec.6.1 -- royalty/streaming co, does not mine gold, no equity-production concept applies",not sampled,n/a,0000085535-95-000009,"PROBE-CHEAP: US domestic filer, CIK resolved, earliest real annual = FY-June-1995 10-K. UNIVERSE.md explicitly excludes royalty/streaming companies from the gold-producer universe (structural exclusion, not a data-availability issue) -- included here only for completeness since the task named it."
Homestake Mining Co,0000743872,1994,2001,"10-K, 10-Q","quarterly (clean 3+1 cadence every year, 1994-2001)","GENUINE OLD-STYLE EDGAR SGML TEXT -- verified concretely by reading the FY1995 10-K line by line. Structure: the entire filing (10-K body + all exhibits) is ONE flat .txt submission, internally delimited by <TYPE>/<SEQUENCE>/<DESCRIPTION> tags (<TYPE>10-K ... <TYPE>EX-10.1 ... <TYPE>EX-13 ... <TYPE>EX-21). Financial tables use literal SGML markup <TABLE><CAPTION><S><C>...<C> where <S> marks the stub/label column and each <C> marks one numeric column -- NOT HTML, no real table cells. Column alignment is achieved purely by whitespace padding (monospace-assumed rendering); numbers are right-aligned, $ signs appear only on the first/last row of a column block, negative numbers are parenthesized e.g. (39,141), blank cells (not '0', not 'N/A') represent nil/not- applicable. Horizontal rules under subtotals/above totals are literal ASCII dash and equals-sign lines (e.g. '- --------' -- note the leading space, an EDGAR SGML escaping quirk for lines starting with a dash). Page breaks are literal <PAGE> tags, a holdover from when 10-Ks were physically paginated documents. A parser for this era needs fixed-width/whitespace-column extraction (or naive regex on the <S>/<C> markers), NOT an HTML/DOM parser.","yes -- explicit two-segment note (Note 22: Geographic and Segment Information) with GOLD and SULPHUR-AND-OIL as the two reportable segments; revenue, operating earnings, DD&A, exploration expense, capex, AND identifiable assets are ALL broken out by segment with a clean gold-only line for every single metric, three years shown (1993/1994/1995) side by side -- this is a CLEANER segment table than many modern filings.","cash operating costs (own house phrasing, pre-dates/contemporaneous with the 1996 Gold Institute standard; NOT verified whether wording later shifted to the standardized ""total cash cost"" phrase post-1996 -- only one sample point, FY1995, was read in full)","""Cash operating costs"" / ""Other cash costs"" / ""Noncash costs"" -> summed to ""Total production costs"", per-ounce, disclosed per-mine (Homestake underground, McLaughlin, etc.)",0000743872-96-000008,"VERIFIED by full read of the FY1995 10-K (filed 1996-03-28). The REAL audited financial statements (Statements of Consolidated Income/Balance Sheets/Cash Flows, and the segment note) are NOT in the 10-K body -- they are incorporated by reference from the '1995 Annual Report to Shareholders' and refiled as EXHIBIT 13 within the SAME submission (a single-file precursor of the same wrapper-plus-exhibit pattern later found in Barrick/Kinross 40-Fs, except here everything is one flat .txt, not separate documents). A parser that stops reading after the '<TYPE>10-K' section (roughly the first 3,300 of 9,884 lines) will MISS the entire financial statements, which start ~4,500 lines later inside EX-13. Acquired by Barrick, deregistered 2001-12-19 (Form 15-12B) -- this is the SINGLE MOST IMPORTANT ADDITION to a pre-2002 series: a top-10 global producer with a clean 8-year quarterly financial history AND a clean gold-only segment line, fully verified."
Santa Fe Pacific Gold Corp,0000921754,1996,1997,"10-K405, 10-Q -- EXTREMELY THIN RECORD, only ONE annual filing ever","2 quarters of 10-Q on record, then one 10-K405 -- not a full clean quarterly cadence within EDGAR's window for this CIK","not independently deep-read (single keyword-scan sample only, time-budget triage); presumed same SGML .txt family as Homestake/Battle Mountain/Amax Gold given the era, not individually confirmed","yes (pure-play gold company; ""gold sales"" caption found, no other-metal revenue line detected in the single sample)",NOT VERIFIED -- zero cost-keyword hits in the one sample fetched (FY1996 10-K405),n/a,0000912057-97-009380,"VERIFIED ABSENCE OF EARLIER HISTORY: this CIK's recent-filings block is complete (no older-files pointer), and the true earliest record is 1995-02-10 (a third-party SC 13G) with the company's own first real filing being a 1996-08-13 10-Q -- despite Santa Fe Pacific Gold having been spun off from Santa Fe Pacific Corp (the railroad) back in 1994, NOTHING from 1994-1995 is retrievable under this CIK. Acquired by Newmont 1997 (deregistered via Form 15-12G, 1997-05-06). Net effect: this company contributes at most ONE usable annual data point (FY1996) to any pre-2002 series -- not a real multi-year addition."
Battle Mountain Gold Co,0000771498,1994,2000,"10-K, 10-K405, 10-Q","quarterly (clean 3+1 cadence every year, 1994-2000)","SGML-era .txt, same family as Homestake (not independently line-by-line read for table structure the way Homestake was; presumed identical <TABLE><CAPTION><S><C> convention based on the same filing-agent era, not individually re-verified)","PARTIAL -- verified multi-metal producer: gold, silver, AND copper sales/production volumes are disclosed per-mine (e.g. Vera Nova/Golden Giant vs Kori Kollo/San Luis operations show different metal mixes) at the OUNCE/POUND level. A dollar-value SEGMENT table isolating gold-only revenue was NOT independently confirmed in this sample (time-budget triage) -- flag as 'likely present but not verified', not 'confirmed present' the way Homestake's is.",cash operating cost,"""Cash operating cost"" per ounce, disclosed per-mine",0000950129-96-000327,VERIFIED via keyword scan of the FY1995 10-K405 (filed 1996-03-08): gold/silver/copper sales all detected in the same document. Merged into Newmont March 2001 (last filing is a Form 4 dated 2001-02-09) -- matches the coordinator's note exactly.
"Amax Gold Inc (renamed Kinam Gold Inc, 1998)",0000814577,1994,2001,"10-K, 10-K405, 10-Q","quarterly (clean 3+1 cadence every year, 1994-2001)","SGML-era .txt, same family as Homestake (not independently line-by-line read for table structure; presumed identical convention, not individually re-verified)","YES, TRIVIALLY -- confirmed pure-play single-segment gold company: NO segment note exists anywhere in the FY1993 10-K (searched explicitly for 'segment', 'single segment', 'principally engaged' -- zero hits) because there is only one segment to disclose. Company = segment. This is structurally the CLEANEST possible case for the gold-split question.",cash operating cost,"""Cash operating cost"" (present from the FY1993 10-K onward, i.e. the earliest sample checked)",0000950131-94-000353,"VERIFIED. UNUSUAL ENTITY-DISCONTINUITY PATTERN: Kinross acquired an ~86% majority stake in Amax Gold in 1998; rather than being immediately absorbed/deregistered, the company was RENAMED Kinam Gold Inc and CONTINUED to file its own separate 10-K/10-Q as a partly-owned-but-still-SEC- reporting subsidiary all the way through FY2001 (filed 2002-04-02), deregistering only in 2002-05-03. This is a distinct discontinuity type from the other entities in this study: a 'majority-acquired but kept filing independently for ~4 more years' pattern, not a clean single- date merger cutoff. Also relevant to the Cyprus Amax row below: Cyprus Amax Minerals held an equity stake in this SAME company (see its FY1993 10-K, 'For additional information regarding Amax Gold, see Equity and Other') -- Amax Gold/Kinam's own filings are a materially better source for gold-specific figures than Cyprus Amax's consolidated statements."
Cyprus Amax Minerals Co,0000769589,1994,1998,"10-K, 10-K405, 10-Q","quarterly (clean 3+1 cadence every year, 1994-1998)","SGML-era .txt, same family as the above (verified via direct fetch of the FY1993 10-K for the segment-structure check, not independently checked for the exact table markup style Homestake was)","NO -- CONFIRMED WORSE THAN FREEPORT (Tier-3 by-product case, exactly as the coordinator suspected). VERIFIED via direct read of the FY1993 10-K: Cyprus Amax reports THREE industry segments -- COAL, COPPER, and OTHER -- and gold revenue is bundled inside the 'Other Minerals Segment' TOGETHER WITH lithium, natural gas, and iron ore. There is no gold-only revenue or operating-income line anywhere in the segment table. This is structurally worse than Freeport-McMoRan, which at least shows a distinguishable 'gold sales' REVENUE line (even though FCX also lacks a gold-specific AISC) -- Cyprus Amax does not even clear that bar.",none found,(no cash-cost or per-ounce gold cost caption detected anywhere in the FY1993 10-K),0000950109-94-000570,"VERIFIED. Gold at Cyprus Amax in 1993 was a small sideline (69,500 oz from three mines: Copperstone AZ, Selwyn Australia, Golden Cross NZ -- company text says 1992 production was 247,600 oz, i.e. already shrinking by the FY1993 filing), dwarfed by its coal and copper businesses. Cyprus Amax's SEPARATE equity stake in Amax Gold Inc (CIK 814577, see that row) is explicitly cross-referenced in this filing -- if gold exposure from the Cyprus/Amax corporate family matters to the study, source it from Amax Gold's own filings, NOT from Cyprus Amax Minerals' consolidated statements. Last annual filing on EDGAR is FY1998 (filed 1999-03-23); the company's later merger history (Phelps Dodge, 1999, per general industry knowledge) was NOT independently re-verified by fetching -- flagged as inferred, not confirmed."
Pegasus Gold Inc,0000746961,1996,1998,"10-K, 10-Q -- PROBE-CHEAP, DROPPED from further sampling per task instructions",quarterly for the ~2 years of record that exist,not sampled beyond CIK/date resolution,not sampled,not sampled,n/a,0000912057-97-009904,"PROBE-CHEAP: real EDGAR record is only 1996-1998 (older-files pointer is empty, so this CIK's recent block IS the complete history -- confirmed no earlier filings exist despite Pegasus operating since the 1980s, the same EDGAR-adoption-timing pattern seen elsewhere). Only 2 real annual filings ever (FY1996, FY1997). Company filed for Chapter 11 bankruptcy in early 1998 (Zortman-Landusky cyanide heap-leach failure and reclamation liabilities, per general industry knowledge, not independently re-verified here) and was administratively REVOKED by the SEC in 2009 for failing to file (not a normal Form-15 deregistration) -- both the thinness of the record and the going-concern/bankruptcy context make this a poor candidate for inclusion even where data exists. Dropped from deeper sampling per task instructions."
Independence Mining Company Inc,0000768961,n/a,n/a,NONE -- never filed its own periodic reports,n/a,NO USABLE DATA,n/a,n/a,n/a,0000768961-95-000002,"VERIFIED ABSENCE: this CIK has exactly ONE filing ever recorded on EDGAR -- a third-party SC 13D dated 1995-11-03 (someone ELSE disclosing beneficial ownership of Independence Mining's stock, not a company-filed document). Cross-checked the full-index company.idx for EVERY quarter 1994-2001 (10 quarters spot-checked): 'INDEPENDENCE MINING' never appears as a 10-K/10-Q/6-K filer under any name variant. Independence Mining was very likely a majority-owned Minorco subsidiary with no independent Exchange Act reporting obligation of its own (consistent with the general history that Minorco/Anglo American consolidated most of its US gold interests into what became AngloGold by the late 1990s). CONCLUSION: no EDGAR-sourced financial data exists for this company under any discoverable CIK -- dropped, there is nothing further to probe."
Getchell Gold Corp (f/k/a FirstMiss Gold Inc),0000824590,1995,1998,"10-K405, 10-Q -- PROBE-CHEAP, DROPPED from further sampling per task instructions",quarterly for the ~4 years of record that exist,not sampled beyond CIK/date resolution,not sampled,not sampled,n/a,0000950134-95-002221,"PROBE-CHEAP: renamed from FirstMiss Gold Inc in 1996; first annual filing has a stub fiscal year ending June 1995 before settling into a calendar year. Real record spans 1995-1998 (final 11-K filed June 1999), consistent with acquisition by Placer Dome around 1999 (general industry knowledge, NOT independently re-verified by fetching a merger document here). Peak scale (the Getchell/Turquoise Ridge Nevada mine, roughly 300 thousand oz/yr at the time, per general knowledge -- not independently verified via a production-figure fetch) most likely did not reach global top-20; also absent from docs/UNIVERSE.md, though that document's own coverage only starts in 2005 and cannot corroborate or refute a 1990s ranking either way. Dropped from deeper sampling per task instructions."
Canyon Resources Corp,0000739460,1995,2007,"10-K, 10-K405, 10-Q -- PROBE-CHEAP, DROPPED from further sampling per task instructions",quarterly for most years on record,not sampled beyond CIK/date resolution,not sampled,not sampled,n/a,0000950134-96-001106,"PROBE-CHEAP: small Montana junior gold producer/developer (Kendall and McDonald gold projects; the McDonald project was effectively blocked by Montana's 1998 cyanide-heap-leach mining ban referendum, per general industry knowledge, not independently re-verified here). Long EDGAR tail (1995-2007) reflects its life as a junior/shell company after operations wound down, not sustained major production. Production scale at any point was far below a global top-20 threshold (general knowledge, not independently verified via a production-figure fetch); also absent from docs/UNIVERSE.md (whose own coverage starts 2005 and cannot corroborate/refute a 1990s ranking). Dropped from deeper sampling per explicit task instruction to drop names that never approached top-20."
